Classroom_ID,Capacity,Room_Type,Facilities,Availability
R011,60,Lecture Hall,"[""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R012,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R013,150,Lecture Hall,"[""Sound System"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R014,40,Seminar Room,"[""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R015,60,Lecture Hall,"[""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R016,80,Lecture Hall,"[""Sound System"", ""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R017,30,Seminar Room,"[""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R018,150,Lecture Hall,"[""Sound System"", ""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R019,40,Seminar Room,"[""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R020,40,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
